"1 _ 1",,,
"Time","Force","Stroke","Ext.1"
"sec","N","mm","mm"
"0","0,1457532","0,0004666667","0"
"0,01","0,1473427","0,004266667","0"
"0,02","0,1567205","0,008266667","0"
"0,03","0,1947085","0,01236667","0"
"0,04","0,3077189","0,01656667","0"
"0,05","0,5628268","0,02076667","0"
"0,06","1,015186","0,0249","0"
"0,07","1,665274","0,0291","0"
"0,08","2,451102","0,0333","0"
"0,09","3,29272","0,0375","0"
"0,1","4,138947","0,04166667","0"
"0,11","4,972299","0,04586667","0"
"0,12","5,789916","0,05003333","0,006"
"0,13","6,596247","0,0542","0"
"0,14","7,398764","0,05836667","0"
"0,15","8,20144","0,06253333","0"
"0,16","9,003957","0,0667","0"
"0,17","9,80409","0,0709","0,005"
"0,18","10,60216","0,07503334","0,005"
"0,19","11,40118","0,0792","0"
"0,2","12,2021","0,08336667","0"
"0,21","13,00319","0,08753333","0"
"0,22","13,80189","0,09166667","0,002"
"0,23","14,59646","0,09583333","0,005"
"0,24","15,38865","0,1","0"
"0,25","16,1775","0,1041667","0"
"0,26","16,96078","0,1083","0"
"0,27","17,73818","0,1125","-0,001"
"0,28","18,50986","0,1166667","-0,005"
"0,29","19,27598","0,1208333","0"
"0,3","20,03892","0,125","0,001"
"0,31","20,80154","0,1292","0,001"
"0,32","21,56321","0,1333667","0,001"
"0,33","22,32329","0,1375333","-0,003"
"0,34","23,08432","0,1417333","-0,005"
"0,35","23,84631","0,1458333","0,001"
"0,36","24,60527","0,1500333","0,001"
"0,37","25,35725","0,1542333","0,001"
"0,38","26,10556","0,1583667","0,009000001"
"0,39","26,85483","0,1625333","0,011"
"0,4","27,60824","0,1666667","0,011"
"0,41","28,36434","0,1708667","0,01"
"0,42","29,11933","0,175","0,01"
"0,43","29,86876","0,1791667","0,011"
"0,44","30,61469","0,1833333","0,011"
"0,45","31,35983","0,1875","0,011"
"0,46","32,10513","0,1916333","0,013"
"0,47","32,85106","0,1958","0,02"
"0,48","33,59858","0,2","0,021"
"0,49","34,34753","0,2041667","0,021"
"0,5","35,09712","0,2083667","0,025"
"0,51","35,84671","0,2125667","0,02"
"0,52","36,59264","0,2167","0,02"
"0,53","37,33397","0,2208667","0,02"
"0,54","38,07084","0,2250667","0,029"
"0,55","38,80405","0,2292","0,03"
"0,56","39,5325","0,2333667","0,03"
"0,57","40,25714","0,2375667","0,03"
"0,58","40,9797","0,2417333","0,037"
"0,59","41,69989","0,2458667","0,031"
"0,6","42,41991","0,2500333","0,031"
"0,61","43,14184","0,2541667","0,031"
"0,62","43,86489","0,2583333","0,033"
"0,63","44,58682","0,2625","0,04"
"0,64","45,30668","0,2666667","0,041"
"0,65","46,02385","0,2708333","0,041"
"0,66","46,74037","0,2749667","0,046"
"0,67","47,4604","0,2791333","0,046"
"0,68","48,18646","0,2833333","0,041"
"0,69","48,91682","0,2875","0,042"
"0,7","49,64717","0,2917","0,05"
"0,71","50,37546","0,2958667","0,051"
"0,72","51,10121","0,3000333","0,051"
"0,73","51,82695","0,3042","0,057"
"0,74","52,55461","0,3084","0,06"
"0,75","53,28115","0,3125667","0,053"
"0,76","54,00292","0,3167","0,051"
"0,77","54,72295","0,3209","0,058"
"0,78","55,44456","0,3250667","0,061"
"0,79","56,16649","0,3291667","0,061"
"0,8","56,88683","0,3333667","0,062"
"0,81","57,60622","0,3375","0,07"
"0,82","58,32307","0,3416333","0,06900001"
"0,83","59,03403","0,3457667","0,061"
"0,84","59,73784","0,35","0,06900001"
"0,85","60,43609","0,3541667","0,072"
"0,86","61,13068","0,3583","0,072"
"0,87","61,82337","0,3625","0,072"
"0,88","62,51669","0,3666667","0,081"
"0,89","63,21096","0,3708667","0,081"
"0,9","63,90651","0,3750333","0,072"
"0,91","64,60222","0,3792333","0,072"
"0,92","65,29808","0,3834","0,08000001"
"0,93","65,99363","0,3875667","0,082"
"0,94","66,68901","0,3917333","0,082"
"0,95","67,38551","0,3958667","0,085"
"0,96","68,08202","0,4000667","0,09100001"
"0,97","68,77867","0,4042333","0,09100001"
"0,98","69,47676","0,4084","0,08400001"
"0,99","70,17692","0,4125333","0,09"
"1","70,87644","0,4166667","0,09100001"
"1,01","71,57373","0,4208333","0,09100001"
"1,02","72,26897","0,4249667","0,09900001"
"1,03","72,96181","0,4291333","0,101"
"1,04","73,65179","0,4333","0,101"
"1,05","74,33717","0,4375","0,101"
"1,06","75,01872","0,4416333","0,101"
"1,07","75,70123","0,4458","0,101"
"1,08","76,38804","0,45","0,101"
"1,09","77,07707","0,4541667","0,11"
"1,1","77,76705","0,4583333","0,112"
"1,11","78,45926","0,4625333","0,112"
"1,12","79,15385","0,4667","0,119"
"1,13","79,84877","0,4708667","0,114"
"1,14","80,54177","0,4750667","0,112"
"1,15","81,23223","0,4792","0,112"
"1,16","81,92062","0,4833667","0,121"
"1,17","82,60759","0,4875667","0,122"
"1,18","83,29233","0,4917333","0,122"
"1,19","83,97611","0,4958667","0,125"
"1,2","84,66005","0,5000333","0,129"
"1,21","85,34479","0,5042","0,122"
"1,22","86,02667","0,5083","0,127"
"1,23","86,70155","0,5124667","0,132"
"1,24","87,37024","0,5166667","0,132"
"1,25","88,03558","0,5208","0,14"
"1,26","88,70045","0,5249","0,142"
"1,27","89,36564","0,5291667","0,142"
"1,28","90,03178","0,5333334","0,15"
"1,29","90,69904","0,5375","0,143"
"1,3","91,36756","0,5417","0,143"
"1,31","92,03911","0,5458667","0,147"
"1,32","92,71542","0,5500333","0,153"
"1,33","93,39285","0,5542","0,153"
"1,34","94,06615","0,5584","0,153"
"1,35","94,73403","0,5625333","0,162"
"1,36","95,40002","0,5667","0,163"
"1,37","96,0687","0,5709","0,157"
"1,38","96,742","0,5750667","0,159"
"1,39","97,41751","0,5792","0,163"
"1,4","98,09303","0,5833667","0,163"
"1,41","98,76712","0,5875","0,163"
"1,42","99,43819","0,5916333","0,17"
"1,43","100,105","0,5958","0,173"
"1,44","100,7676","0,6","0,173"
"1,45","101,429","0,6041334","0,173"
"1,46","102,0889","0,6083","0,178"
"1,47","102,7486","0,6124667","0,172"
"1,48","103,4077","0,6166667","0,172"
"1,49","104,0635","0,6208333","0,174"
"1,5","104,7136","0,6250333","0,181"
"1,51","105,3592","0,6292334","0,182"
"1,52","106,0036","0,6333666","0,182"
"1,53","106,6499","0,6375334","0,192"
"1,54","107,3","0,6417333","0,192"
"1,55","107,9529","0,6458667","0,184"
"1,56","108,6054","0,6500334","0,188"
"1,57","109,2571","0,6542","0,193"
"1,58","109,9097","0,6583667","0,193"
"1,59","110,5644","0,6625333","0,193"
"1,6","111,2219","0,6666667","0,199"
"1,61","111,8832","0,6708333","0,203"
"1,62","112,5469","0,675","0,203"
"1,63","113,2091","0,6791334","0,203"
"1,64","113,8681","0,6833333","0,205"
"1,65","114,5264","0,6874667","0,203"
"1,66","115,184","0,6916333","0,203"
"1,67","115,8414","0,6958","0,208"
"1,68","116,4991","0,7","0,213"
"1,69","117,1579","0,7041667","0,213"
"1,7","117,8198","0,7083667","0,214"
"1,71","118,4839","0,7125667","0,222"
"1,72","119,1454","0,7167333","0,222"
"1,73","119,8001","0,7209","0,215"
"1,74","120,4481","0,7250667","0,219"
"1,75","121,0925","0,7292333","0,223"
"1,76","121,7313","0,7334","0,223"
"1,77","122,3628","0,7376","0,228"
"1,78","122,99","0,7417333","0,234"
"1,79","123,6165","0,7458667","0,234"
"1,8","124,2426","0,7500333","0,239"
"1,81","124,8668","0,7542","0,239"
"1,82","125,4881","0,7583333","0,234"
"1,83","126,1074","0,7624667","0,236"
"1,84","126,7231","0,7666667","0,243"
"1,85","127,336","0,7708","0,244"
"1,86","127,9492","0,7749333","0,244"
"1,87","128,5663","0,7791333","0,249"
"1,88","129,1881","0,7833","0,253"
"1,89","129,8113","0,7874667","0,244"
"1,9","130,435","0,7916667","0,244"
"1,91","131,0596","0,7959","0,253"
"1,92","131,6838","0,8000333","0,254"
"1,93","132,3059","0,8042","0,254"
"1,94","132,9271","0,8084334","0,262"
"1,95","133,5502","0,8125333","0,264"
"1,96","134,1759","0,8167","0,264"
"1,97","134,8036","0,8209","0,267"
"1,98","135,4316","0,8250667","0,265"
"1,99","136,0591","0,8292","0,265"
"2","136,6857","0,8333667","0,265"
"2,01","137,3115","0,8375334","0,274"
"2,02","137,935","0,8416333","0,275"
"2,03","138,557","0,8458","0,275"
"2,04","139,1792","0,85","0,283"
"2,05","139,7985","0,8541334","0,275"
"2,06","140,4109","0,8582667","0,274"
"2,07","141,0178","0,8625","0,282"
"2,08","141,6245","0,8666667","0,284"
"2,09","142,233","0,8708","0,284"
"2,1","142,8421","0,8750333","0,288"
"2,11","143,4514","0,8792","0,294"
"2,12","144,062","0,8833667","0,291"
"2,13","144,6753","0,8875667","0,284"
"2,14","145,2899","0,8917667","0,288"
"2,15","145,9036","0,8959","0,294"
"2,16","146,516","0,9000667","0,294"
"2,17","147,1279","0,9042333","0,294"
"2,18","147,7393","0,9084","0,303"
"2,19","148,3488","0,9125333","0,303"
"2,2","148,9574","0,9166667","0,295"
"2,21","149,5652","0,9208667","0,304"
"2,22","150,1732","0,9249667","0,305"
"2,23","150,781","0,9291334","0,305"
"2,24","151,3882","0,9333333","0,313"
"2,25","151,9944","0,9375","0,315"
"2,26","152,5982","0,9416","0,315"
"2,27","153,1984","0,9458","0,319"
"2,28","153,7941","0,95","0,315"
"2,29","154,3865","0,9541667","0,315"
"2,3","154,9796","0,9583667","0,322"
"2,31","155,5761","0,9625334","0,325"
"2,32","156,1759","0,9667","0,325"
"2,33","156,775","0,9708667","0,334"
"2,34","157,3685","0,9750333","0,334"
"2,35","157,9563","0,9792","0,326"
"2,36","158,5379","0,9834","0,333"
"2,37","159,1153","0,9875666","0,335"
"2,38","159,6913","0,9917334","0,335"
"2,39","160,2669","0,9959","0,337"
"2,4","160,8394","1,000033","0,344"
"2,41","161,4092","1,0042","0,345"
"2,42","161,9798","1,008333","0,345"
"2,43","162,5543","1,0125","0,351"
"2,44","163,1306","1,016667","0,346"
"2,45","163,7065","1,0208","0,346"
"2,46","164,2803","1,024933","0,35"
"2,47","164,8536","1,029133","0,356"
"2,48","165,4299","1,0333","0,356"
"2,49","166,0123","1,0375","0,357"
"2,5","166,5993","1,0417","0,365"
"2,51","167,1866","1,045867","0,363"
"2,52","167,7694","1,050033","0,355"
"2,53","168,3488","1,054167","0,36"
"2,54","168,9274","1,058367","0,365"
"2,55","169,5056","1,062533","0,365"
"2,56","170,0834","1,066733","0,365"
"2,57","170,664","1,0709","0,374"
"2,58","171,2532","1,075067","0,375"
"2,59","171,8497","1,0792","0,375"
"2,6","172,4475","1,083367","0,375"
"2,61","173,0414","1,0875","0,375"
"2,62","173,6291","1,091667","0,375"
"2,63","174,207","1,0958","0,375"
"2,64","174,7724","1,1","0,385"
"2,65","175,33","1,104167","0,386"
"2,66","175,8919","1,1083","0,386"
"2,67","176,463","1,112467","0,386"
"2,68","177,038","1,116667","0,391"
"2,69","177,6098","1,120833","0,386"
"2,7","178,1801","1,125033","0,386"
"2,71","178,7538","1,129233","0,395"
"2,72","179,3273","1,133367","0,396"
"2,73","179,8919","1,137533","0,396"
"2,74","180,45","1,141733","0,401"
"2,75","181,0063","1,145867","0,406"
"2,76","181,5594","1,150033","0,403"
"2,77","182,1046","1,1542","0,397"
"2,78","182,6466","1,1584","0,405"
"2,79","183,1972","1,162533","0,406"
"2,8","183,7586","1,1667","0,408"
"2,81","184,3209","1,170867","0,415"
"2,82","184,8736","1,175","0,416"
"2,83","185,4153","1,179133","0,417"
"2,84","185,9517","1,1833","0,416"
"2,85","186,4875","1,187467","0,416"
"2,86","187,0238","1,1916","0,421"
"2,87","187,5621","1,1958","0,427"
"2,88","188,1065","1,2","0,427"
"2,89","188,6559","1,204167","0,43"
"2,9","189,2074","1,208333","0,436"
