"1 _ 1",,,
"Time","Force","Stroke","Ext.1"
"sec","N","mm","mm"
"0","0,1319249","0,0004666667","0"
"0,01","0,134786","0,005466667","0"
"0,02","0,1446406","0,01333333","0"
"0,03","0,1955032","0,02146667","0,002"
"0,04","0,3825823","0,02983333","0,003"
"0,05","0,8489291","0,0382","0"
"0,06","1,689593","0,04656667","0,007"
"0,07","2,861977","0,05493334","0"
"0,08","4,225572","0,06323333","0"
"0,09","5,655447","0,07156667","0"
"0,1","7,088343","0,0799","0"
"0,11","8,499463","0,08813334","0"
"0,12","9,882133","0,0965","0,008"
"0,13","11,24605","0,1048","0,014"
"0,14","12,60678","0,1131333","0,01"
"0,15","13,97038","0,1215667","0,011"
"0,16","15,33588","0,1299","0,019"
"0,17","16,70218","0,1382667","0,022"
"0,18","18,06688","0,1466333","0,029"
"0,19","19,42412","0,1549667","0,036"
"0,2","20,76721","0,1632333","0,03"
"0,21","22,09282","0,1715667","0,037"
"0,22","23,40285","0,1799","0,041"
"0,23","24,70223","0,1881333","0,049"
"0,24","25,99827","0,1964667","0,058"
"0,25","27,29622","0,2049","0,053"
"0,26","28,59672","0,2132333","0,06"
"0,27","29,89721","0,2216","0,062"
"0,28","31,19882","0,2299333","0,07"
"0,29","32,5071","0,2382667","0,07600001"
"0,3","33,82508","0,2465667","0,071"
"0,31","35,14544","0,2548667","0,078"
"0,32","36,4577","0,2632","0,081"
"0,33","37,75835","0,2715","0,08400001"
"0,34","39,0501","0,2798667","0,082"
"0,35","40,33534","0,2882333","0,086"
"0,36","41,61263","0,2966","0,09100001"
"0,37","42,88213","0,3049667","0,1"
"0,38","44,14988","0,3132333","0,09900001"
"0,39","45,42414","0,3216","0,101"
"0,4","46,7062","0,3299","0,102"
"0,41","47,99001","0,3381667","0,111"
"0,42","49,26888","0,3465","0,117"
"0,43","50,54188","0,3548","0,113"
"0,44","51,80979","0,3632","0,12"
"0,45","53,07118","0,3715667","0,127"
"0,46","54,32622","0,3799333","0,13"
"0,47","55,57759","0,3883","0,131"
"0,48","56,82802","0,3966333","0,136"
"0,49","58,07463","0,4049667","0,142"
"0,5","59,31266","0,4132667","0,142"
"0,51","60,53829","0,4215","0,143"
"0,52","61,75327","0,4298334","0,151"
"0,53","62,96539","0,4381333","0,152"
"0,54","64,18037","0,4464667","0,152"
"0,55","65,39726","0,4548667","0,158"
"0,56","66,61192","0,4632334","0,162"
"0,57","67,82579","0,4716","0,167"
"0,58","69,04411","0,4799334","0,163"
"0,59","70,26974","0,4882667","0,172"
"0,6","71,50046","0,4965667","0,173"
"0,61","72,73388","0,5048333","0,179"
"0,62","73,96809","0,5131667","0,173"
"0,63","75,20199","0,5214667","0,182"
"0,64","76,4308","0,5298667","0,185"
"0,65","77,6496","0,5382667","0,188"
"0,66","78,85535","0,5466","0,185"
"0,67","80,05365","0,5549334","0,191"
"0,68","81,25194","0,5632667","0,196"
"0,69","82,45103","0,5716","0,201"
"0,7","83,6428","0,5799","0,2"
"0,71","84,82345","0,5881667","0,205"
"0,72","85,99758","0,5965","0,212"
"0,73","87,16917","0,6048","0,216"
"0,74","88,33583","0,6131667","0,216"
"0,75","89,49757","0,6215667","0,223"
"0,76","90,66026","0,6299","0,231"
"0,77","91,83041","0,6383","0,233"
"0,78","93,0055","0,6466","0,235"
"0,79","94,1755","0,6549333","0,242"
"0,8","95,33087","0,6632667","0,247"
"0,81","96,47131","0,6715333","0,244"
"0,82","97,60396","0,6798334","0,253"
"0,83","98,73597","0,6881","0,261"
"0,84","99,86687","0,6964667","0,264"
"0,85","100,9979","0,7049","0,264"
"0,86","102,1336","0,7132667","0,269"
"0,87","103,2782","0,7216333","0,274"
"0,88","104,4312","0,7299667","0,281"
"0,89","105,5891","0,7383","0,28"
"0,9","106,7487","0,7465667","0,284"
"0,91","107,91","0,7548333","0,294"
"0,92","109,0692","0,7631667","0,295"
"0,93","110,2192","0,7714667","0,294"
"0,94","111,3532","0,7798333","0,296"
"0,95","112,4724","0,7882333","0,303"
"0,96","113,5813","0,7966334","0,308"
"0,97","114,6849","0,8049667","0,306"
"0,98","115,7848","0,8133","0,313"
"0,99","116,8826","0,8216333","0,318"
"1","117,9813","0,8299","0,318"
"1,01","119,0845","0,8382","0,322"
"1,02","120,194","0,8465","0,329"
"1,03","121,304","0,8548","0,333"
"1,04","122,4076","0,8631667","0,333"
"1,05","123,5048","0,8715667","0,335"
"1,06","124,6026","0,8799","0,344"
"1,07","125,7025","0,8883","0,347"
"1,08","126,7999","0,8966333","0,347"
"1,09","127,8876","0,9049667","0,354"
"1,1","128,9651","0,9132667","0,36"
"1,11","130,0362","0,9215333","0,355"
"1,12","131,1038","0,9298667","0,363"
"1,13","132,1672","0,9381334","0,367"
"1,14","133,2267","0,9464667","0,373"
"1,15","134,2866","0,9548666","0,373"
"1,16","135,3497","0,9632334","0,376"
"1,17","136,4139","0,9716","0,384"
"1,18","137,4758","0,9799333","0,387"
"1,19","138,5365","0,9883","0,385"
"1,2","139,5993","0,9965667","0,393"
"1,21","140,6652","1,004833","0,397"
"1,22","141,7289","1,013167","0,403"
"1,23","142,7816","1,021467","0,402"
"1,24","143,819","1,029833","0,406"
"1,25","144,8433","1,038233","0,414"
"1,26","145,8599","1,0466","0,418"
"1,27","146,8719","1,054967","0,416"
"1,28","147,8837","1,0633","0,425"
"1,29","148,8989","1,0716","0,432"
"1,3","149,9189","1,0799","0,433"
"1,31","150,9385","1,088133","0,435"
"1,32","151,9497","1,0965","0,443"
