"1 _ 1",,,
"Time","Force","Stroke","Ext.1"
"sec","N","mm","mm"
"0","0,055631","0,0004333333","0"
"0,01","0,05785624","0,0056","0"
"0,02","0,06739298","0,0146","0"
"0,03","0,1206398","0,02443333","0"
"0,04","0,3298124","0,03433333","0,002"
"0,05","0,881354","0,04423333","0,009000001"
"0,06","1,918793","0,0542","0,018"
"0,07","3,402551","0,0642","0,021"
"0,08","5,143007","0,07423333","0,021"
"0,09","6,964684","0,0843","0,029"
"0,1","8,786519","0,0943","0,031"
"0,11","10,58881","0,1043333","0,034"
"0,12","12,36947","0,1142667","0,031"
"0,13","14,13949","0,1242333","0,039"
"0,14","15,91253","0,1342333","0,042"
"0,15","17,68907","0,1442","0,041"
"0,16","19,45941","0,1542333","0,043"
"0,17","21,21846","0,1643333","0,05"
"0,18","22,97529","0,1743667","0,058"
"0,19","24,73927","0,1843667","0,059"
"0,2","26,50309","0,1943667","0,062"
"0,21","28,2499","0,2043333","0,066"
"0,22","29,97144","0,2143","0,072"
"0,23","31,67375","0,2241667","0,07300001"
"0,24","33,36287","0,2341667","0,079"
"0,25","35,03942","0,2443","0,083"
"0,26","36,70438","0,2543333","0,09100001"
"0,27","38,36536","0,2643333","0,093"
"0,28","40,03541","0,2743667","0,09100001"
"0,29","41,72341","0,2843","0,09900001"
"0,3","43,42524","0,2942667","0,106"
"0,31","45,12691","0,3042333","0,112"
"0,32","46,81253","0,3142333","0,112"
"0,33","48,47495","0,3242667","0,112"
"0,34","50,12035","0,3343333","0,12"
"0,35","51,75956","0,3443334","0,122"
"0,36","53,39861","0,3543667","0,131"
"0,37","55,04195","0,3643333","0,127"
"0,38","56,69371","0,3743","0,131"
"0,39","58,35358","0,3842667","0,139"
"0,4","60,01329","0,3942333","0,143"
"0,41","61,66108","0,4042667","0,149"
"0,42","63,2933","0,4143333","0,145"
"0,43","64,9155","0,4243667","0,151"
"0,44","66,53325","0,4343667","0,155"
"0,45","68,14162","0,4443667","0,162"
"0,46","69,73299","0,4543","0,169"
"0,47","71,30766","0,4642667","0,168"
"0,48","72,87391","0,4742","0,172"
"0,49","74,43682","0,4842333","0,178"
"0,5","75,99799","0,4943","0,183"
"0,51","77,55868","0,5043333","0,193"
"0,52","79,12222","0,5143334","0,196"
"0,53","80,69038","0,5243667","0,194"
"0,54","82,26347","0,5343","0,203"
"0,55","83,84116","0,5442333","0,211"
"0,56","85,42236","0,5542333","0,214"
"0,57","87,00259","0,5642667","0,221"
"0,58","88,57584","0,5742667","0,216"
"0,59","90,14018","0,5843334","0,223"
"0,6","91,69579","0,5943334","0,227"
"0,61","93,24455","0,6043667","0,233"
"0,62","94,78998","0,6143333","0,24"
"0,63","96,33478","0,6242334","0,238"
"0,64","97,87527","0,6342334","0,243"
"0,65","99,40354","0,6442","0,246"
"0,66","100,9154","0,6542333","0,253"
"0,67","102,4179","0,6642666","0,259"
"0,68","103,9206","0,6743333","0,264"
"0,69","105,4257","0,6843667","0,264"
"0,7","106,9299","0,6943667","0,27"
"0,71","108,4293","0,7043","0,275"
"0,72","109,9211","0,7142667","0,283"
"0,73","111,4025","0,7241667","0,283"
"0,74","112,8708","0,7342333","0,284"
"0,75","114,3317","0,7442667","0,293"
"0,76","115,7947","0,7543","0,302"
"0,77","117,2663","0,7643","0,308"
"0,78","118,7455","0,7743334","0,305"
"0,79","120,2289","0,7843","0,313"
"0,8","121,7163","0,7942333","0,319"
"0,81","123,2058","0,8042333","0,325"
"0,82","124,6874","0,8142667","0,326"
"0,83","126,1506","0,8243334","0,332"
"0,84","127,5922","0,8343334","0,336"
"0,85","129,0162","0,8443334","0,344"
"0,86","130,4283","0,8543","0,342"
"0,87","131,8356","0,8643","0,345"
"0,88","133,2451","0,8742334","0,352"
"0,89","134,6599","0,8842334","0,356"
"0,9","136,076","0,8942333","0,358"
"0,91","137,4909","0,9042667","0,356"
