"1 _ 1",,,
"Time","Force","Stroke","Ext.1"
"sec","N","mm","mm"
"0","-0,1147588","0,0005333333","0"
"0,01","-0,1153946","0,0054","0"
"0,02","-0,1066526","0,0119","0"
"0,03","-0,03830592","0,01843333","-0,002"
"0,04","0,1859665","0,02503333","-0,01"
"0,05","0,6508827","0,03173333","-0,01"
"0,06","1,348495","0,03833333","-0,01"
"0,07","2,184232","0,045","-0,01"
"0,08","3,062407","0,0516","-0,01"
"0,09","3,935655","0,05826667","-0,01"
"0,1","4,789829","0,0649","-0,01"
"0,11","5,625407","0,07153334","-0,011"
"0,12","6,457647","0,07823333","-0,018"
"0,13","7,306735","0,08496667","-0,011"
"0,14","8,175214","0,09166667","-0,01"
"0,15","9,04576","0,09833334","-0,009000001"
"0,16","9,899139","0,1050333","0"
"0,17","10,73138","0,1117","0,001"
"0,18","11,5544","0,1184","0"
"0,19","12,37933","0,125","0"
"0,2","13,20664","0,1316333","0,006"
"0,21","14,03268","0,1382667","0,01"
"0,22","14,85618","0,1449333","0,011"
"0,23","15,67729","0,1516","0,019"
"0,24","16,49459","0,1583","0,02"
"0,25","17,30394","0,1649667","0,025"
"0,26","18,10312","0,1716667","0,02"
"0,27","18,89229","0,1783667","0,025"
"0,28","19,6751","0,1850667","0,03"
"0,29","20,45584","0,1916667","0,03"
"0,3","21,23753","0,1983667","0,039"
"0,31","22,02225","0,205","0,04"
"0,32","22,81221","0,2116667","0,041"
"0,33","23,60821","0,2183","0,041"
"0,34","24,40771","0,2249667","0,041"
"0,35","25,20529","0,2316","0,048"
"0,36","25,99796","0,2382667","0,051"
"0,37","26,78823","0,2449333","0,056"
"0,38","27,57978","0,2516333","0,061"
"0,39","28,37467","0,2583333","0,06500001"
"0,4","29,17115","0,2650333","0,061"
"0,41","29,96461","0,2716667","0,061"
"0,42","30,75441","0,2783667","0,07"
"0,43","31,53992","0,2850333","0,071"
"0,44","32,3205","0,2917","0,07600001"
"0,45","33,09631","0,2983333","0,081"
"0,46","33,86815","0,3049333","0,08400001"
"0,47","34,63936","0,3116333","0,085"
"0,48","35,40929","0,3182333","0,082"
"0,49","36,17907","0,3249334","0,09"
"0,5","36,95202","0,3316333","0,09200001"
"0,51","37,73244","0,3383333","0,093"
"0,52","38,52018","0,3449667","0,101"
"0,53","39,31189","0,3517","0,102"
"0,54","40,10232","0,3583333","0,106"
"0,55","40,88815","0,3650333","0,102"
"0,56","41,67096","0,3716667","0,103"
"0,57","42,45551","0,3783333","0,111"
"0,58","43,24325","0,3849334","0,112"
"0,59","44,02908","0,3916","0,119"
"0,6","44,80839","0,3982667","0,122"
"0,61","45,58134","0,4049333","0,122"
"0,62","46,35112","0,4116333","0,121"
"0,63","47,11787","0,4183334","0,121"
"0,64","47,88081","0,4250333","0,124"
"0,65","48,642","0,4317","0,131"
"0,66","49,40446","0,4383667","0,132"
"0,67","50,1701","0,4450333","0,14"
"0,68","50,93877","0,4517","0,142"
"0,69","51,70901","0,4583","0,142"
"0,7","52,47958","0,4649667","0,142"
"0,71","53,25031","0,4715667","0,142"
"0,72","54,0204","0,4782667","0,149"
"0,73","54,78795","0,4849","0,152"
"0,74","55,55375","0,4916","0,154"
"0,75","56,32114","0,4982667","0,161"
"0,76","57,09267","0,5050333","0,162"
"0,77","57,86896","0,5116667","0,162"
"0,78","58,64747","0,5184","0,162"
"0,79","59,42408","0,5250334","0,169"
"0,8","60,19735","0,5317333","0,172"
"0,81","60,96729","0,5383667","0,173"
"0,82","61,73404","0,545","0,182"
"0,83","62,49698","0,5516","0,183"
"0,84","63,25467","0,5583","0,185"
"0,85","64,00697","0,5649","0,183"
"0,86","64,75353","0,5715333","0,188"
"0,87","65,49724","0,5782667","0,193"
"0,88","66,24238","0,585","0,195"
"0,89","66,99053","0,5917","0,202"
"0,9","67,74123","0,5983667","0,203"
"0,91","68,49257","0,6050333","0,207"
"0,92","69,24184","0,6117","0,203"
"0,93","69,98888","0,6183667","0,208"
"0,94","70,73689","0,625","0,213"
"0,95","71,48695","0,6316333","0,215"
"0,96","72,23701","0,6382334","0,222"
"0,97","72,98486","0,6449333","0,223"
"0,98","73,73","0,6515667","0,233"
"0,99","74,47243","0,6582667","0,23"
"1","75,20914","0,6649333","0,228"
"1,01","75,93871","0,6716667","0,234"
"1,02","76,66302","0,6783333","0,237"
"1,03","77,38574","0,6850667","0,243"
"1,04","78,1099","0,6916667","0,248"
"1,05","78,83628","0,6983667","0,254"
"1,06","79,56314","0,705","0,26"
"1,07","80,28968","0,7116667","0,254"
"1,08","81,01622","0,7182667","0,259"
"1,09","81,74499","0,7249666","0,264"
"1,1","82,47757","0,7316","0,267"
"1,11","83,21476","0,7382666","0,273"
"1,12","83,95529","0,7449334","0,279"
"1,13","84,6974","0,7516667","0,283"
"1,14","85,43905","0,7583333","0,279"
"1,15","86,17655","0,7650334","0,284"
"1,16","86,90834","0,7717","0,284"
"1,17","87,63457","0,7784","0,293"
"1,18","88,35745","0,7850667","0,294"
"1,19","89,07652","0,7917","0,302"
"1,2","89,79193","0,7983333","0,301"
"1,21","90,50322","0,8049334","0,301"
"1,22","91,20957","0,8116333","0,304"
"1,23","91,91132","0,8182334","0,311"
"1,24","92,60861","0,8249334","0,314"
"1,25","93,30384","0,8316","0,318"
"1,26","93,99923","0,8383334","0,324"
"1,27","94,69668","0,845","0,325"
"1,28","95,39842","0,8517","0,326"
"1,29","96,10637","0,8583333","0,325"
"1,3","96,81988","0,8650666","0,329"
"1,31","97,53688","0,8717","0,335"
"1,32","98,25548","0,8783333","0,335"
"1,33","98,97439","0,8849334","0,343"
"1,34","99,69139","0,8916","0,345"
"1,35","100,4038","0,8982334","0,345"
"1,36","101,1109","0,9049","0,345"
"1,37","101,8135","0,9116","0,345"
"1,38","102,512","0,9183","0,351"
"1,39","103,2068","0,925","0,355"
"1,4","103,9006","0,9317","0,357"
"1,41","104,5955","0,9383667","0,364"
"1,42","105,2934","0,9450334","0,365"
"1,43","105,9949","0,9517","0,366"
"1,44","106,6974","0,9583334","0,366"
"1,45","107,3942","0,965","0,369"
"1,46","108,0839","0,9715667","0,375"
"1,47","108,7712","0,9782667","0,376"
"1,48","109,4604","0,9849","0,384"
"1,49","110,1507","0,9916","0,383"
"1,5","110,8381","0,9982667","0,383"
"1,51","111,5216","1,005","0,386"
"1,52","112,2014","1,011667","0,393"
"1,53","112,8788","1,018367","0,396"
"1,54","113,5537","1,025033","0,4"
"1,55","114,2257","1,031733","0,406"
"1,56","114,893","1,038333","0,405"
"1,57","115,5546","1,045","0,405"
"1,58","116,2105","1,0516","0,405"
"1,59","116,8613","1,0583","0,415"
"1,6","117,5089","1,0649","0,416"
"1,61","118,1555","1,071533","0,425"
"1,62","118,8037","1,078233","0,426"
"1,63","119,4541","1,084967","0,426"
"1,64","120,1075","1,091667","0,426"
"1,65","120,7663","1,098333","0,43"
"1,66","121,4301","1,105","0,436"
"1,67","122,0959","1,1117","0,44"
"1,68","122,7622","1,118367","0,446"
"1,69","123,4287","1,124967","0,447"
"1,7","124,0951","1,131633","0,446"
"1,71","124,7616","1,138267","0,446"
"1,72","125,4242","1,144933","0,453"
"1,73","126,0818","1,151567","0,456"
"1,74","126,7362","1,1583","0,459"
"1,75","127,3918","1,164967","0,465"
"1,76","128,0481","1,1717","0,457"
"1,77","128,7007","1,178333","0,465"
"1,78","129,347","1,185033","0,467"
"1,79","129,9887","1,191633","0,473"
"1,8","130,6278","1,198333","0,477"
"1,81","131,2642","1,205","0,477"
"1,82","131,8982","1,211633","0,485"
"1,83","132,5313","1,218267","0,479"
"1,84","133,1636","1,224933","0,483"
"1,85","133,7941","1,231567","0,487"
"1,86","134,4221","1,238233","0,493"
"1,87","135,0481","1,244933","0,497"
"1,88","135,6729","1,251667","0,503"
"1,89","136,2964","1,258367","0,504"
"1,9","136,9184","1,265033","0,501"
"1,91","137,5399","1,2717","0,508"
"1,92","138,1588","1,278367","0,512"
"1,93","138,7723","1,285067","0,518"
"1,94","139,3781","1,291667","0,521"
"1,95","139,9783","1,298333","0,527"
"1,96","140,5733","1,304933","0,529"
"1,97","141,1637","1,311633","0,528"
"1,98","141,7521","1,3182","0,532"
"1,99","142,3432","1,3249","0,538"
"2","142,9399","1,3316","0,5420001"
"2,01","143,5423","1,338333","0,548"
"2,02","144,1479","1,345","0,548"
"2,03","144,7551","1,351733","0,548"
"2,04","145,3625","1,358367","0,5560001"
"2,05","145,97","1,365067","0,558"
"2,06","146,5788","1,371667","0,564"
"2,07","147,1893","1,378333","0,568"
"2,08","147,8004","1,384967","0,568"
"2,09","148,41","1,391633","0,568"
"2,1","149,0143","1,398267","0,569"
"2,11","149,6105","1,404933","0,577"
"2,12","150,1975","1,4116","0,578"
"2,13","150,7785","1,418333","0,586"
"2,14","151,357","1,425","0,587"
"2,15","151,9348","1,431667","0,583"
"2,16","152,5108","1,438367","0,588"
"2,17","153,084","1,445033","0,588"
"2,18","153,6546","1,4517","0,598"
"2,19","154,2242","1,458333","0,599"
"2,2","154,7955","1,465","0,605"
"2,21","155,3688","1,471567","0,6070001"
"2,22","155,944","1,478267","0,6020001"
"2,23","156,5188","1,484867","0,608"
"2,24","157,091","1,4916","0,609"
"2,25","157,6602","1,498267","0,6160001"
"2,26","158,2287","1,505","0,619"
"2,27","158,7976","1,511667","0,6210001"
"2,28","159,3674","1,518367","0,62"
"2,29","159,9361","1,525","0,619"
"2,3","160,5015","1,5317","0,628"
"2,31","161,0613","1,538367","0,629"
"2,32","161,6141","1,545","0,638"
"2,33","162,1623","1,551633","0,6390001"
"2,34","162,7089","1,5583","0,646"
"2,35","163,2543","1,5649","0,64"
"2,36","163,7998","1,571533","0,646"
"2,37","164,3464","1,578267","0,65"
"2,38","164,8938","1,584967","0,656"
"2,39","165,4406","1,591667","0,66"
"2,4","165,9867","1,598367","0,6670001"
"2,41","166,5324","1,605033","0,66"
"2,42","167,0793","1,6117","0,663"
"2,43","167,6269","1,6184","0,669"
"2,44","168,176","1,625","0,669"
"2,45","168,7263","1,631633","0,678"
"2,46","169,2762","1,638267","0,679"
"2,47","169,8195","1,644933","0,686"
"2,48","170,3533","1,651567","0,679"
"2,49","170,8798","1,658267","0,684"
"2,5","171,4025","1,664933","0,6900001"
"2,51","171,9219","1,671667","0,6900001"
"2,52","172,4389","1,678367","0,698"
"2,53","172,9547","1,685067","0,7"
"2,54","173,4711","1,691667","0,705"
"2,55","173,9888","1,698367","0,7"
"2,56","174,5075","1,705","0,705"
"2,57","175,0271","1,711633","0,71"
"2,58","175,5455","1,718267","0,7130001"
"2,59","176,0618","1,724933","0,719"
"2,6","176,5742","1,731567","0,72"
"2,61","177,083","1,738233","0,726"
"2,62","177,5916","1,744933","0,72"
"2,63","178,1036","1,751633","0,7270001"
"2,64","178,6218","1,758333","0,73"
"2,65","179,1442","1,765033","0,737"
"2,66","179,667","1,7717","0,7410001"
"2,67","180,1866","1,778367","0,7450001"
"2,68","180,7013","1,785033","0,743"
"2,69","181,2112","1,791667","0,742"
"2,7","181,7172","1,798333","0,7500001"
"2,71","182,2189","1,804933","0,751"
"2,72","182,7143","1,8116","0,7600001"
"2,73","183,2035","1,818233","0,761"
"2,74","183,6894","1,824933","0,768"
"2,75","184,1756","1,8316","0,761"
"2,76","184,6638","1,838333","0,7690001"
"2,77","185,1533","1,845","0,771"
"2,78","185,6435","1,8517","0,777"
"2,79","186,1331","1,858333","0,7820001"
"2,8","186,622","1,865067","0,789"
"2,81","187,1117","1,871667","0,7820001"
"2,82","187,6024","1,878333","0,79"
"2,83","188,0921","1,884933","0,7920001"
"2,84","188,5794","1,8916","0,8"
"2,85","189,0634","1,898233","0,802"
"2,86","189,5436","1,9049","0,8050001"
"2,87","190,0206","1,9116","0,808"
"2,88","190,4955","1,918333","0,802"
"2,89","190,9687","1,925033","0,8100001"
"2,9","191,439","1,9317","0,812"
"2,91","191,9071","1,938367","0,8200001"
"2,92","192,3739","1,945033","0,822"
"2,93","192,8407","1,9517","0,83"
"2,94","193,3083","1,958333","0,822"
"2,95","193,7755","1,964967","0,83"
"2,96","194,2426","1,9716","0,832"
"2,97","194,7104","1,9783","0,841"
"2,98","195,1795","1,9849","0,8420001"
"2,99","195,6479","1,9916","0,85"
"3","196,1172","1,9983","0,8430001"
"3,01","196,5876","2,005","0,85"
"3,02","197,0571","2,011667","0,8520001"
"3,03","197,5236","2,0184","0,859"
"3,04","197,9855","2,025033","0,862"
"3,05","198,4413","2,031733","0,869"
"3,06","198,891","2,038367","0,862"
"3,07","199,3362","2,045","0,8710001"
"3,08","199,7782","2,051633","0,873"
"3,09","200,2171","2,0583","0,8800001"
"3,1","200,6523","2,0649","0,883"
"3,11","201,0864","2,071533","0,8850001"
"3,12","201,5214","2,078233","0,887"
"3,13","201,9585","2,084967","0,883"
"3,14","202,3994","2,091667","0,891"
"3,15","202,8459","2,098333","0,8930001"
"3,16","203,2963","2,105","0,901"
"3,17","203,7479","2,1117","0,9030001"
"3,18","204,1974","2,118367","0,9080001"
"3,19","204,644","2,125","0,9030001"
"3,2","205,0883","2,131633","0,904"
"3,21","205,5305","2,138267","0,9120001"
"3,22","205,9704","2,144933","0,913"
"3,23","206,4068","2,151567","0,9220001"
"3,24","206,8399","2,1583","0,924"
"3,25","207,272","2,164933","0,9250001"
"3,26","207,7031","2,171667","0,923"
"3,27","208,1316","2,178333","0,9300001"
"3,28","208,5582","2,185033","0,933"
"3,29","208,9861","2,191667","0,937"
"3,3","209,4158","2,198367","0,942"
"3,31","209,8449","2,205","0,936"
"3,32","210,2734","2,211667","0,942"
"3,33","210,7042","2,2183","0,946"
"3,34","211,1371","2,224933","0,952"
"3,35","211,5671","2,2316","0,955"
"3,36","211,9894","2,238267","0,961"
"3,37","212,4062","2,244967","0,9530001"
"3,38","212,8208","2,251667","0,9620001"
"3,39","213,236","2,258333","0,964"
"3,4","213,652","2,265","0,9710001"
"3,41","214,0671","2,271667","0,974"
"3,42","214,4788","2,278333","0,98"
"3,43","214,8856","2,285033","0,974"
"3,44","215,2874","2,291633","0,98"
"3,45","215,6846","2,298333","0,984"
"3,46","216,0775","2,304933","0,987"
"3,47","216,4685","2,311633","0,993"
"3,48","216,8582","2,318267","0,9960001"
"3,49","217,2475","2,324967","0,9960001"
"3,5","217,6372","2,3316","0,998"
"3,51","218,0284","2,338333","1,004"
"3,52","218,4192","2,344967","1,006"
"3,53","218,8112","2,3517","1,014"
"3,54","219,2079","2,358333","1,015"
"3,55","219,6115","2,365033","1,019"
"3,56","220,0204","2,371633","1,015"
"3,57","220,4324","2,3783","1,023"
"3,58","220,8468","2,384933","1,025"
"3,59","221,259","2,3916","1,034"
"3,6","221,662","2,398267","1,035"
"3,61","222,0565","2,404933","1,042"
"3,62","222,4477","2,4116","1,035"
"3,63","222,8382","2,418333","1,043"
"3,64","223,227","2,425","1,045"
"3,65","223,6123","2,4317","1,054"
"3,66","223,9931","2,438367","1,056"
"3,67","224,3695","2,445033","1,064"
"3,68","224,7451","2,4517","1,055"
"3,69","225,1245","2,458333","1,063"
"3,7","225,5058","2,464967","1,065"
"3,71","225,8852","2,471567","1,069"
"3,72","226,2623","2,478267","1,075"
"3,73","226,6367","2,4849","1,077"
"3,74","227,0085","2,4916","1,082"
"3,75","227,3774","2,498267","1,078"
"3,76","227,747","2,505","1,084"
"3,77","228,1198","2,511667","1,087"
